WL,n,k
577.27,4.0917,0.085906
578.86,4.0868,0.084402
580.46,4.0818,0.082927
582.05,4.0769,0.081481
583.64,4.0721,0.080064
585.24,4.0673,0.078673
586.83,4.0626,0.077309
588.42,4.0579,0.075972
590.02,4.0533,0.07466
591.61,4.0487,0.073373
593.2,4.0442,0.07211
594.8,4.0397,0.070872
596.39,4.0353,0.069657
597.98,4.0309,0.068464
599.57,4.0266,0.067294
601.17,4.0223,0.066146
602.76,4.018,0.065019
604.35,4.0138,0.063914
605.95,4.0097,0.062828
607.54,4.0056,0.061763
609.13,4.0015,0.060717
610.72,3.9975,0.059691
612.31,3.9935,0.058683
613.91,3.9895,0.057694
615.5,3.9856,0.056723
617.09,3.9818,0.055769
618.68,3.978,0.054833
620.27,3.9742,0.053914
621.87,3.9704,0.053011
623.46,3.9667,0.052124
625.05,3.963,0.051253
626.64,3.9594,0.050398
628.23,3.9558,0.049558
629.82,3.9522,0.048733
631.41,3.9487,0.047922
633,3.9452,0.047126
634.59,3.9418,0.046344
636.18,3.9383,0.045575
637.78,3.9349,0.044821
639.37,3.9316,0.044079
640.96,3.9283,0.04335
642.55,3.925,0.042634
644.14,3.9217,0.04193
645.73,3.9185,0.041239
647.32,3.9153,0.040559
648.91,3.9121,0.039891
650.5,3.909,0.039235
652.09,3.9058,0.03859
653.68,3.9028,0.037956
655.27,3.8997,0.037333
656.85,3.8967,0.03672
658.44,3.8937,0.036118
660.03,3.8907,0.035526
661.62,3.8878,0.034944
663.21,3.8849,0.034372
664.8,3.882,0.033809
666.39,3.8791,0.033256
667.98,3.8763,0.032713
669.57,3.8735,0.032178
671.15,3.8707,0.031652
672.74,3.868,0.031136
674.33,3.8652,0.030627
675.92,3.8625,0.030128
677.51,3.8599,0.029636
679.09,3.8572,0.029153
680.68,3.8546,0.028677
682.27,3.852,0.02821
683.86,3.8494,0.02775
685.44,3.8468,0.027298
687.03,3.8443,0.026853
688.62,3.8417,0.026415
690.2,3.8393,0.025985
691.79,3.8368,0.025562
693.38,3.8343,0.025145
694.96,3.8319,0.024736
696.55,3.8295,0.024333
698.14,3.8271,0.023936
699.72,3.8247,0.023546
701.31,3.8224,0.023162
702.89,3.8201,0.022785
704.48,3.8178,0.022413
706.07,3.8155,0.022048
707.65,3.8132,0.021688
709.24,3.8109,0.021335
710.82,3.8087,0.020986
712.41,3.8065,0.020644
713.99,3.8043,0.020307
715.58,3.8021,0.019975
717.16,3.8,0.019649
718.74,3.7978,0.019328
720.33,3.7957,0.019012
721.91,3.7936,0.0187
723.5,3.7915,0.018394
725.08,3.7895,0.018093
726.66,3.7874,0.017797
728.25,3.7854,0.017505
729.83,3.7834,0.017218
731.42,3.7814,0.016935
733,3.7794,0.016657
734.58,3.7774,0.016383
736.16,3.7755,0.016113
737.75,3.7735,0.015848
739.33,3.7716,0.015587
740.91,3.7697,0.01533
742.49,3.7678,0.015077
744.08,3.7659,0.014828
745.66,3.7641,0.014583
747.24,3.7622,0.014342
748.82,3.7604,0.014104
750.4,3.7586,0.01387
751.98,3.7568,0.01364
753.57,3.755,0.013413
755.15,3.7532,0.01319
756.73,3.7515,0.012971
758.31,3.7497,0.012755
759.89,3.748,0.012542
761.47,3.7463,0.012332
763.05,3.7446,0.012126
764.63,3.7429,0.011923
766.21,3.7412,0.011723
767.79,3.7395,0.011526
769.37,3.7379,0.011333
770.95,3.7362,0.011142
772.53,3.7346,0.010954
774.11,3.733,0.010769
775.68,3.7314,0.010587
777.26,3.7298,0.010408
778.84,3.7282,0.010231
780.42,3.7267,0.010058
782,3.7251,0.0098865
783.58,3.7236,0.0097181
785.15,3.722,0.0095522
786.73,3.7205,0.009389
788.31,3.719,0.0092282
789.89,3.7175,0.00907
791.46,3.716,0.0089141
793.04,3.7145,0.0087607
794.62,3.7131,0.0086097
796.19,3.7116,0.0084609
797.77,3.7102,0.0083145
799.35,3.7087,0.0081703
800.92,3.7073,0.0080283
802.5,3.7059,0.0078886
804.08,3.7045,0.007751
805.65,3.7031,0.0076155
807.23,3.7017,0.0074821
808.8,3.7004,0.0073507
810.38,3.699,0.0072214
811.95,3.6976,0.0070941
813.53,3.6963,0.0069687
815.1,3.695,0.0068453
816.67,3.6936,0.0067238
818.25,3.6923,0.0066041
819.82,3.691,0.0064863
821.4,3.6897,0.0063703
822.97,3.6884,0.0062562
824.54,3.6872,0.0061437
826.12,3.6859,0.0060331
827.69,3.6846,0.0059241
829.26,3.6834,0.0058168
830.83,3.6822,0.0057112
832.41,3.6809,0.0056073
833.98,3.6797,0.0055049
835.55,3.6785,0.0054041
837.12,3.6773,0.0053049
838.69,3.6761,0.0052073
840.27,3.6749,0.0051111
841.84,3.6737,0.0050165
843.41,3.6725,0.0049233
844.98,3.6714,0.0048316
846.55,3.6702,0.0047414
848.12,3.669,0.0046525
849.69,3.6679,0.004565
851.26,3.6668,0.0044789
852.83,3.6656,0.0043942
854.4,3.6645,0.0043108
855.97,3.6634,0.0042287
857.54,3.6623,0.0041478
859.11,3.6612,0.0040683
860.67,3.6601,0.00399
862.24,3.659,0.003913
863.81,3.658,0.0038371
865.38,3.6569,0.0037625
866.95,3.6558,0.0036891
868.51,3.6548,0.0036168
870.08,3.6537,0.0035457
871.65,3.6527,0.0034757
873.22,3.6517,0.0034068
874.78,3.6506,0.003339
876.35,3.6496,0.0032723
877.92,3.6486,0.0032067
879.48,3.6476,0.0031422
881.05,3.6466,0.0030786
882.61,3.6456,0.0030161
884.18,3.6446,0.0029546
885.74,3.6436,0.0028941
887.31,3.6426,0.0028346
888.87,3.6417,0.0027761
890.44,3.6407,0.0027185
892,3.6398,0.0026618
893.57,3.6388,0.0026061
895.13,3.6379,0.0025513
896.69,3.6369,0.0024974
898.26,3.636,0.0024444
899.82,3.6351,0.0023922
901.38,3.6342,0.002341
902.95,3.6332,0.0022905
904.51,3.6323,0.0022409
906.07,3.6314,0.0021922
907.63,3.6305,0.0021442
909.2,3.6296,0.0020971
910.76,3.6288,0.0020507
912.32,3.6279,0.0020052
913.88,3.627,0.0019604
915.44,3.6261,0.0019163
917,3.6253,0.001873
918.56,3.6244,0.0018305
920.12,3.6236,0.0017887
921.68,3.6227,0.0017476
923.24,3.6219,0.0017072
924.8,3.621,0.0016675
926.36,3.6202,0.0016285
927.92,3.6194,0.0015901
929.48,3.6186,0.0015525
931.04,3.6177,0.0015155
932.59,3.6169,0.0014791
934.15,3.6161,0.0014434
935.71,3.6153,0.0014084
937.27,3.6145,0.0013739
938.82,3.6137,0.0013401
940.38,3.6129,0.0013069
941.94,3.6122,0.0012742
943.49,3.6114,0.0012422
945.05,3.6106,0.0012108
946.61,3.6098,0.0011799
948.16,3.6091,0.0011496
949.72,3.6083,0.0011198
951.27,3.6076,0.0010906
952.83,3.6068,0.001062
954.38,3.6061,0.0010338
955.94,3.6053,0.0010063
957.49,3.6046,0.00097919
959.05,3.6038,0.00095264
960.6,3.6031,0.00092659
962.15,3.6024,0.00090105
963.71,3.6017,0.00087599
965.26,3.601,0.00085143
966.81,3.6003,0.00082734
968.36,3.5995,0.00080373
969.92,3.5988,0.00078059
971.47,3.5981,0.0007579
973.02,3.5974,0.00073567
974.57,3.5968,0.00071389
976.12,3.5961,0.00069255
977.67,3.5954,0.00067164
979.22,3.5947,0.00065117
980.77,3.594,0.00063111
982.32,3.5934,0.00061148
983.87,3.5927,0.00059226
985.42,3.592,0.00057345
986.97,3.5914,0.00055503
988.52,3.5907,0.00053702
990.07,3.5901,0.00051939
991.62,3.5894,0.00050215
993.17,3.5888,0.00048529
994.71,3.5881,0.0004688
996.26,3.5875,0.00045268
997.81,3.5869,0.00043693
999.36,3.5862,0.00042153
1012.7,3.5809,0.00030288
1016.1,3.5796,0.00027676
1019.4,3.5784,0.00025208
1022.8,3.5771,0.0002288
1026.2,3.5758,0.00020689
1029.5,3.5746,0.00018629
1032.9,3.5734,0.00016698
1036.2,3.5722,0.00014892
1039.6,3.571,0.00013207
1043,3.5698,0.00011639
1046.3,3.5686,0.00010185
1049.7,3.5675,0.000088419
1053,3.5663,0.000076065
1056.4,3.5652,0.000064754
1059.8,3.5641,0.000054457
1063.1,3.563,0.000045145
1066.5,3.5619,0.000036788
1069.8,3.5608,0.000029359
1073.2,3.5598,0.00002283
1076.6,3.5587,0.000017176
1079.9,3.5577,0.00001237
1083.3,3.5566,8.3887E-06
1086.6,3.5556,5.2065E-06
1090,3.5546,2.8004E-06
1093.3,3.5536,1.1475E-06
1096.7,3.5526,2.257E-07
1100.1,3.5517,4.4538E-37
1103.4,3.5507,3.6965E-37
1106.8,3.5498,3.0708E-37
1110.1,3.5488,2.5534E-37
1113.5,3.5479,2.1251E-37
1116.8,3.547,1.7702E-37
1120.2,3.5461,1.4759E-37
1123.6,3.5452,1.2316E-37
1126.9,3.5443,1.0287E-37
1130.3,3.5434,8.5996E-38
1133.6,3.5425,7.1951E-38
1137,3.5417,6.0252E-38
1140.4,3.5408,5.0498E-38
1143.7,3.54,4.2359E-38
1147.1,3.5391,3.5562E-38
1150.4,3.5383,2.988E-38
1153.8,3.5375,2.5127E-38
1157.1,3.5367,2.1147E-38
1160.5,3.5359,1.7812E-38
1163.9,3.5351,1.5015E-38
1167.2,3.5343,1.2668E-38
1170.6,3.5335,1.0696E-38
1174,3.5327,9.0377E-39
1177.3,3.532,7.6428E-39
1180.7,3.5312,6.4681E-39
1184,3.5304,5.4782E-39
1187.4,3.5297,4.6434E-39
1190.8,3.529,3.9387E-39
1194.1,3.5282,3.3435E-39
1197.5,3.5275,2.8404E-39
1200.9,3.5268,2.4147E-39
1204.2,3.5261,2.0544E-39
1207.6,3.5254,1.7491E-39
1211,3.5247,1.4902E-39
1214.3,3.524,1.2706E-39
1217.7,3.5233,1.0841E-39
1221.1,3.5226,9.2566E-40
1224.4,3.522,7.9091E-40
1227.8,3.5213,6.7625E-40
1231.2,3.5206,5.7861E-40
1234.5,3.52,4.9541E-40
1237.9,3.5193,4.2446E-40
1241.3,3.5187,3.6392E-40
1244.7,3.5181,3.1222E-40
1248,3.5174,2.6804E-40
1251.4,3.5168,2.3027E-40
1254.8,3.5162,1.9795E-40
1258.2,3.5156,1.7028E-40
1261.5,3.515,1.4657E-40
1264.9,3.5144,1.2624E-40
1268.3,3.5138,1.088E-40
1271.7,3.5132,9.3832E-41
1275,3.5126,8.0971E-41
1278.4,3.512,6.9918E-41
1281.8,3.5114,6.041E-41
1285.2,3.5109,5.2226E-41
1288.6,3.5103,4.5181E-41
1292,3.5097,3.9107E-41
1295.3,3.5092,3.3872E-41
1298.7,3.5086,2.9354E-41
1302.1,3.5081,2.5455E-41
1305.5,3.5075,2.2086E-41
1308.9,3.507,1.9174E-41
1312.3,3.5064,1.6656E-41
1315.7,3.5059,1.4477E-41
1319.1,3.5054,1.2589E-41
1322.5,3.5049,1.0955E-41
1325.9,3.5043,9.5372E-42
1329.3,3.5038,8.3083E-42
1332.7,3.5033,7.2419E-42
1336.1,3.5028,6.3157E-42
1339.5,3.5023,5.5113E-42
1342.9,3.5018,4.8107E-42
1346.3,3.5013,4.2025E-42
1349.7,3.5008,3.6728E-42
1353.1,3.5003,3.2118E-42
1356.5,3.4999,2.8096E-42
1359.9,3.4994,2.4593E-42
1363.3,3.4989,2.1538E-42
1366.7,3.4984,1.8875E-42
1370.1,3.498,1.6549E-42
1373.5,3.4975,1.4517E-42
1377,3.497,1.2738E-42
1380.4,3.4966,1.1182E-42
1383.8,3.4961,9.8231E-43
1387.2,3.4957,8.632E-43
1390.6,3.4952,7.595E-43
1394.1,3.4948,6.6842E-43
1397.5,3.4943,5.8855E-43
1400.9,3.4939,5.1848E-43
1404.3,3.4935,4.5682E-43
1407.8,3.493,4.0217E-43
1411.2,3.4926,3.5453E-43
1414.6,3.4922,3.1249E-43
1418.1,3.4918,2.7606E-43
1421.5,3.4914,2.4383E-43
1424.9,3.4909,2.158E-43
1428.4,3.4905,1.9058E-43
1431.8,3.4901,1.6816E-43
1435.3,3.4897,1.4854E-43
1438.7,3.4893,1.3172E-43
1442.2,3.4889,1.1631E-43
1445.6,3.4885,1.037E-43
1449.1,3.4881,9.1084E-44
1452.5,3.4877,8.1275E-44
1456,3.4873,7.2868E-44
1459.4,3.487,6.446E-44
1462.9,3.4866,5.7453E-44
1466.3,3.4862,5.0447E-44
1469.8,3.4858,4.4842E-44
1473.3,3.4854,3.9236E-44
1476.7,3.4851,3.5032E-44
1480.2,3.4847,3.223E-44
1483.7,3.4843,2.8026E-44
1487.1,3.484,2.5223E-44
1490.6,3.4836,2.2421E-44
1494.1,3.4832,1.9618E-44
1497.6,3.4829,1.8217E-44
1501,3.4825,1.5414E-44
1504.5,3.4822,1.4013E-44
1508,3.4818,1.2612E-44
1511.5,3.4815,1.121E-44
1515,3.4811,9.8091E-45
1518.5,3.4808,8.4078E-45
1522,3.4805,8.4078E-45
1525.5,3.4801,7.0065E-45
1529,3.4798,7.0065E-45
1532.5,3.4794,5.6052E-45
1536,3.4791,5.6052E-45
1539.5,3.4788,4.2039E-45
1543,3.4785,4.2039E-45
1546.5,3.4781,4.2039E-45
1550,3.4778,2.8026E-45
1553.5,3.4775,2.8026E-45
1557,3.4772,2.8026E-45
1560.5,3.4769,2.8026E-45
1564.1,3.4765,2.8026E-45
1567.6,3.4762,1.4013E-45
1571.1,3.4759,1.4013E-45
1574.6,3.4756,1.4013E-45
1578.2,3.4753,1.4013E-45
1581.7,3.475,1.4013E-45
1585.2,3.4747,1.4013E-45
1588.8,3.4744,1.4013E-45
1592.3,3.4741,1.4013E-45
1595.9,3.4738,1.4013E-45
1599.4,3.4735,1.4013E-45
1602.9,3.4732,0
1606.5,3.4729,0
1610.1,3.4726,0
1613.6,3.4723,0
1617.2,3.4721,0
1620.7,3.4718,0
1624.3,3.4715,0
1627.9,3.4712,0
1631.4,3.4709,0
1635,3.4707,0
1638.6,3.4704,0
1642.2,3.4701,0
1645.7,3.4698,0
1649.3,3.4696,0
1652.9,3.4693,0
1656.5,3.469,0
1660.1,3.4688,0
1663.7,3.4685,0
1667.3,3.4682,0
1670.9,3.468,0
1674.5,3.4677,0
1678.1,3.4675,0
1681.7,3.4672,0
1685.3,3.4669,0
1688.9,3.4667,0
